,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,subject mean,subject st dev
MAR-26-17-00,1.216603834,1.139455094,1.06693696,1.043132478,1.025770698,1.029739053,1.070443138,1.126561886,1.060671182,1.013015588,1.015932927,1.006299697,1.381003038,2.466114173,1.099041751,1.096965575,1.079900208,1.181609733,1.180464268,1.178463187,1.279238911,1.024730453,1.01883769,1.016858156,1.093896246,1.097085705,1.103696425,1.124507451,1.026155741,1.11975954,1.337887527,3.235400729,1.140672972,1.34612985,1.036859095,1.274659334,1.049198611,1.045939054,1.19717186,1.012342926,1.164484683,1.019984618,1.022362776,1.016933835,1.023041804,1.005071374,1.207985204,1.027074214,1.002747252,1.002747252,1.006406016,1.353248084,1.005720039,1.023582651,1.165565603,0.36
MAR-26-18-00,1.002805788,1.002805788,1.011075123,1.002737901,1.00471097,1.012118439,1.094218688,1.174791234,1.057750476,1.09727605,1.015175479,1.009707758,1.391797733,1.62724669,1.016431505,1.004219074,1.091186132,1.172769973,1.039818358,1.100614951,1.013341341,1.015561129,1.006839125,1.006839125,1.195822134,1.083614569,1.048477906,1.107182758,1.026896096,1.118852514,2.027616501,1.062611214,1.335593158,1.457866446,1.340992276,1.268024032,1.040073701,1.040073701,1.009608668,1.01951557,1.000766419,1.000766419,1.017376807,1.038533156,1.010925882,1.005071374,1.011972845,1.008470831,2.080337542,1.002747252,1.353248084,1.34823539,1.038246836,1.035014818,1.131599514,0.23
MAR-26-22-00,1.067012761,1.015653772,1.00532239,1.00532239,1,1,1.158633815,1.01357537,1.124310408,1.024360227,1.019353214,1.020948758,1.517858491,1.522021316,1.040764022,1.013795576,1.088960558,1.07637672,1.210855662,1.02909744,1.015561129,1.015561129,1.006839125,1.006839125,1.142707214,1.188821981,1.105254792,1.048477906,1.030979111,1.030979111,2.880117444,2.40971737,1.164161525,1.206996326,1.131691676,1.003819722,1.051327761,1.040073701,1.01951557,1.009608668,1.000766419,1.000766419,1.010031064,1.017376807,1.008717053,1.005071374,1.011972845,1.011275038,2.080337542,2.080337542,1.411280164,1.001393323,1.005720039,1.035014818,1.169320995,0.37
MAR-27-17-00,1.200605484,1.002805788,1.041896659,1.002737901,1.110595616,1.012118439,1.161857273,1.27664384,1.275867625,1.182223985,1.011654463,1.027525892,2.585962154,1.151079748,1.031886348,1.259426808,1.089882149,1.097857703,1.164990902,1.058490925,1.020265657,1.015561129,1.017069057,1.006839125,1.078923214,1.206041856,1.04224733,1.034095258,1.211068757,1.028298813,3.236237253,1.142083456,1.289607281,1.250713312,1.131691676,1.11643036,1.042548652,1.051327761,1.189165173,1.01951557,1.000766419,1.000766419,1.016529542,1.010031064,1.009642122,1.005071374,1.345760513,1.001317458,2.080337542,1.002747252,1.440641875,1.852067947,1.038246836,1.035014818,1.198421881,0.40
MAR-27-17-30,1.015653772,1.038955312,1.00532239,1.00532239,1,1,1.166169506,1.103136575,1.105476006,1.182574433,1.092270279,1.092270279,2.199302696,1.133363499,1.034302261,1.107617063,1.085627234,1.261802902,1.108765698,1.100614951,1.005482024,1.005482024,1.001240977,1.006839125,1.085067552,1.106660706,1.123361628,1.105088737,1.036746308,1.311875565,3.214329778,3.28333808,1.357033859,1.357033859,1.508293174,1.438366444,1.11929162,1.051327761,1.01951557,1.01951557,1.000766419,1.000766419,1.245339656,1.016933835,1.041533854,1.005071374,1.026315042,1.009726817,1.875546273,1.45461743,1.411280164,1.662501528,1.315287154,1.532940058,1.251723401,0.46
MAR-27-19-30,1.002805788,1.002805788,1.002737901,1.002737901,1.012118439,1.012118439,1.196279707,1.19383686,1.191535356,1.00971484,1.012979317,1.247172677,1.391797733,2.468284738,1.040764022,1.08633722,1.091186132,1.093335748,1.128248131,1.124054846,1.005482024,1.005482024,1.006839125,1.001240977,1.085425083,1.112456394,1.099820114,1.110578876,1.115136507,1.131840719,1.94839557,3.81247804,1.289607281,1.267906338,1.206960876,1.095050523,1.040073701,1.051327761,1.01951557,1.01951557,1.000766419,1.000766419,1.017376807,1.016933835,1.008717053,1.005071374,1.016539273,1.018603384,1.002747252,3.022205538,1.411280164,1.001393323,1.023582651,1.035014818,1.209573759,0.51
MAR-27-20-00,1.002805788,1.015653772,1.00532239,1.00532239,1,1.089902131,1.163251997,1.016591995,1.047011571,1.028357442,1.026943187,1.01599035,1.151320913,2.468284738,1.011940583,1.020712162,1.091186132,1.004310506,1.02909744,1.02909744,1.005482024,1.005482024,1.001240977,1.019044635,1.085425083,1.079381073,1.092893359,1.024789826,1.112165891,1.030979111,3.218791012,3.298011943,1.403193291,1.250713312,1.268306678,1.274659334,1.051327761,1.051327761,1.009608668,1.034223953,1.008120655,1.019955533,1.028572076,1.004446495,1.011500275,1.029948887,1.011972845,1.017370626,2.080337542,2.080337542,1.353248084,1.001393323,1.038246836,1.035014818,1.208529929,0.49
MAR-28-10-00,1.142735368,1.015653772,1.011075123,1.00532239,1.153874666,1.020762846,1.091362103,1.174394916,1.02416655,1.428833514,1.108538817,1.520672951,1.727436469,1.599759999,1.029365474,1.024796091,1.089392796,1.25955297,1.252354355,1.020761049,1.25869124,1.09496281,1.305727653,1.102352876,1.189464688,1.086202493,1.828790822,1.098273893,1.112724019,1.106798235,2.11213591,1.63751214,1.267906338,1.185047906,1.04051799,1.236741716,1.325186485,1.141143917,1.164470474,1.334736645,1.162019748,1.010930292,1.016933835,1.018527547,1.076781957,1.02306155,1.195569735,1.017370626,2.215367338,1.002110835,1.411280164,1.353248084,1.038246836,1.038246836,1.220553627,0.27
MAR-28-16-00,1.015653772,1.015653772,1.105079562,1.00532239,1.077152016,1,1.13674275,1.17250877,1.122190572,1.015892844,1.164604304,1.173961149,2.393327138,1.151320913,1.016431505,1.099249546,1.17705821,1.392908549,1.638642606,1.02909744,1.354270385,1.005482024,1.200551563,1.001240977,1.354509888,1.086733718,1.401386622,1.471973084,1.286936734,1.316505374,4.070123414,2.228361405,1.68520406,1.326288206,1.347344932,1.643219463,1.141143917,1.051327761,1.01951557,1.01951557,1.000766419,1.000766419,1.022362776,1.016933835,1.008717053,1.005071374,1.353164881,1.019217798,2.080337542,1.693337199,2.194321924,1.34823539,1.038246836,1.189689879,1.31269633,0.51
MAR-28-17-00,1.015653772,1.015653772,1.00532239,1.00532239,1,1,1.097492652,1.165203905,1.04762121,1.025672183,1.014318735,1.008788799,1.493450748,1.519474203,1.018769749,1.109791736,1.091186132,1.093335748,1.128248131,1.02909744,1.022553117,1.015561129,1.006839125,1.006839125,1.297059056,1.188821981,1.048477906,1.048477906,1.030979111,1.036746308,1.802055052,2.11213591,1.522570475,1.135146651,2.167555271,1.310781806,1.051327761,1.051327761,1.01951557,1.01951557,1.000766419,1.000766419,1.010031064,1.245339656,1.008717053,1.008717053,1.011972845,1.011972845,1.002747252,1.876182689,1.006406016,1.346842068,1.023582651,1.023582651,1.15474661,0.28
MAR-28-19-00,1.015653772,1.015653772,1.039969067,1.00532239,1.040897615,1.456140302,1.090356767,1.162070731,1.169233951,1.09727605,1.161428213,1.086053959,1.390182021,2.201734709,1.016431505,1.026184,1.086810942,1.093929964,1.096771369,1.058490925,1.005482024,1.015561129,1.016075747,2.016930862,1.106228783,1.093738783,1.102757548,1.107822893,1.11767197,1.100692561,2.677500947,2.05498491,1.250202433,1.021700942,1.036859095,1.081065121,1.031897444,1.040073701,1.009608668,1.006094834,1.016526098,1.010702569,1.021823302,1.038533156,1.011500275,1.005071374,1.003825991,1.017370626,2.080337542,1.693337199,1.411280164,1.001393323,1.038246836,1.035014818,1.196083439,0.36
MAR-28-20-00,1.122113003,1.002805788,1.002737901,1.002737901,1,1,1.01830438,1.097051508,1.089157939,1.006800633,1.097007038,1.012397109,1.187788431,1.395734359,1.018304984,1.101155302,1.080347659,1.137218406,1.11389522,1.128549999,1.015561129,1.015561129,1.006839125,1.006839125,1.128104312,1.135270436,1.11389292,1.1344724,1.03838298,1.120497829,1.43825202,1.802911463,1.427067931,1.505120276,1.60467499,1.499429599,1.141143917,1.141143917,1.01951557,1.01951557,1.000766419,1.000766419,1.017376807,1.016933835,1.187779929,1.005071374,1.002804207,1.001317458,1.876182689,1.002110835,1.409886841,1.34823539,1.038246836,1.038246836,1.145815372,0.21
MAR-28-21-00,1.147339991,1.015653772,1.040799315,1.034744897,1.013342368,1.025469275,1.123490948,1.088459036,1.048915576,1.035618122,1.01941386,1.010182706,2.432137771,2.252310178,1.029287013,1.018304984,1.086810942,1.079936905,1.088730085,1.249987945,1.021204548,1.02538461,1.011677113,1.006839125,1.125728473,1.039803054,1.105791112,1.024500438,1.038283433,1.044517642,1.966331712,2.130072052,1.249484648,1.281232964,1.084786617,1.04051799,1.095091952,1.051327761,1.003224428,1.01951557,1.000766419,1.00988028,1.022762089,1.018288592,1.010925882,1.005071374,1.028191542,1.008961267,2.080337542,1.002747252,1.353248084,1.34823539,1.038246836,1.020350634,1.169523409,0.34
