,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,subject mean,subject st dev
MAR-26-17-00,40.71,23.49,20.54,18.85,25.85,26.46,26.93,19.42,16.26,21.53,21.00,45.51,28.42,19.44,24.32,18.41,19.15,16.96,19.09,22.30,22.48,16.34,19.79,19.87,18.66,19.97,20.13,19.79,16.46,29.07,26.06,46.64,25.92,26.91,18.80,11.42,9.73,13.07,10.27,14.19,15.17,35.35,13.50,24.26,18.23,20.76,31.20,20.35,23.90,16.30,21.75,16.50,12.74,11.73,21.52,7.69
MAR-26-18-00,15.15,26.34,6.79,15.01,24.80,1.75,25.68,32.93,17.26,29.16,25.13,23.43,35.46,44.60,24.59,36.64,25.77,35.94,21.87,23.36,8.65,10.27,8.93,10.65,20.40,30.16,21.66,22.89,15.67,29.62,33.94,36.33,30.00,24.38,30.39,22.53,28.09,11.80,11.10,10.22,7.82,9.80,20.47,12.56,12.35,15.74,9.90,16.83,17.45,19.28,20.10,17.00,19.56,22.76,20.94,9.24
MAR-26-22-00,19.73,17.23,14.95,13.87,13.93,9.56,19.58,14.05,47.74,23.62,24.18,16.89,30.00,24.87,37.26,22.85,30.78,43.43,23.69,14.94,14.10,6.68,8.64,7.02,20.53,17.60,8.07,12.72,39.42,7.90,26.66,17.78,42.02,31.87,14.97,12.00,13.79,7.06,12.67,5.55,8.73,6.64,10.55,11.96,8.80,9.60,8.84,11.10,10.66,8.77,12.66,11.62,16.40,14.55,17.43,10.26
MAR-27-17-00,42.72,28.26,34.03,20.00,52.60,23.05,40.31,48.23,49.62,29.81,59.36,43.88,46.34,55.63,33.71,32.17,27.51,46.02,35.55,11.78,30.72,9.23,43.77,8.11,38.91,41.52,30.94,23.01,49.34,14.06,55.30,31.67,16.63,41.87,22.97,37.89,22.53,36.67,15.88,17.48,23.84,9.43,14.60,11.62,20.73,24.98,26.69,15.34,16.85,27.80,17.27,17.66,14.20,13.23,29.69,13.87
MAR-27-17-30,7.96,10.55,13.61,13.86,16.43,9.69,25.56,36.74,29.12,24.96,28.53,14.64,30.74,50.22,29.58,36.10,16.40,30.23,15.73,18.96,9.37,13.63,9.20,26.10,28.02,26.20,24.86,21.84,17.64,30.53,41.36,40.65,24.54,21.26,32.86,27.46,27.41,19.95,9.87,8.75,10.06,9.53,12.70,16.21,16.53,9.90,17.50,14.37,17.67,42.78,22.55,37.81,24.94,27.63,22.25,10.20
MAR-27-19-30,10.79,18.82,9.33,18.86,12.08,16.73,32.76,26.72,29.13,26.30,22.84,40.97,35.70,42.26,31.80,46.67,18.91,26.71,17.76,16.80,20.23,15.60,16.21,15.79,22.04,24.85,22.60,25.81,23.08,20.28,31.00,39.27,35.93,23.31,25.76,36.56,15.62,23.18,9.36,8.13,9.35,8.64,12.06,11.10,14.83,7.46,10.87,15.96,15.23,37.37,14.97,14.01,17.60,12.92,21.46,9.89
MAR-27-20-00,16.09,15.36,11.46,13.94,11.26,24.19,27.47,32.29,28.10,29.21,33.17,19.60,43.70,31.53,32.01,45.00,37.93,28.52,27.67,15.49,11.00,12.03,13.03,22.78,14.78,19.20,22.30,24.96,14.97,17.65,32.84,30.55,41.91,26.72,32.63,24.24,12.42,8.07,9.23,13.51,12.42,7.60,9.64,15.12,13.04,14.06,9.33,10.92,14.27,14.25,9.23,15.76,14.43,16.05,20.46,9.90
MAR-28-10-00,9.84,31.26,20.01,14.14,17.31,23.73,33.56,23.33,32.35,28.54,51.83,31.56,44.53,31.23,41.73,44.50,21.90,22.76,44.17,18.03,20.26,17.16,30.84,15.50,26.94,27.93,33.69,30.74,26.65,15.90,21.13,29.17,21.91,35.73,14.03,13.36,18.05,11.40,11.92,13.41,15.10,9.88,13.40,12.60,15.93,10.77,13.12,13.67,21.86,27.84,17.53,11.83,15.80,9.50,22.79,10.40
MAR-28-16-00,12.28,10.43,17.62,8.61,18.52,7.46,14.53,29.35,15.66,21.44,34.33,29.09,27.24,30.24,33.15,26.23,23.34,23.25,46.94,12.98,14.47,7.93,10.30,7.37,17.96,28.11,33.00,22.59,30.57,17.72,46.71,46.35,33.27,24.66,33.38,20.93,17.63,5.56,9.89,6.11,7.16,6.06,18.07,9.88,11.34,10.73,16.66,14.91,16.13,16.96,21.63,33.03,12.19,14.36,20.12,10.71
MAR-28-17-00,7.54,9.83,6.43,4.41,5.40,5.18,10.19,11.21,10.96,11.73,11.85,11.24,16.37,11.46,10.40,10.24,10.46,10.33,10.86,7.70,7.30,6.10,10.02,5.57,9.32,6.36,9.23,6.93,8.04,7.40,11.06,8.86,32.86,12.08,23.91,32.16,10.02,5.39,6.26,5.00,5.83,4.96,7.15,7.93,6.71,9.11,7.07,7.11,10.73,9.30,7.22,6.73,5.93,7.85,9.65,5.53
MAR-28-19-00,15.15,14.43,24.27,23.55,30.50,36.07,12.84,36.70,22.59,34.28,20.36,32.13,23.25,35.54,16.93,23.24,21.99,25.34,22.49,14.84,16.69,18.13,18.49,40.67,15.52,24.50,19.21,17.59,20.97,17.29,22.70,21.56,30.96,19.76,19.85,29.25,18.49,11.45,10.97,14.64,9.88,18.24,9.90,14.96,10.26,12.30,12.03,15.40,10.75,12.53,11.34,14.07,13.90,13.61,19.90,7.75
MAR-28-20-00,24.06,10.58,10.30,9.27,9.23,15.69,35.60,18.57,47.03,13.66,17.67,14.73,30.36,52.37,21.89,12.27,28.63,16.02,14.00,19.17,8.53,7.32,6.83,11.61,21.00,27.36,20.66,11.62,11.13,12.27,62.03,34.73,31.07,29.50,33.66,24.03,41.94,13.09,6.49,5.76,7.10,6.19,10.33,8.04,11.63,8.36,8.73,9.76,12.70,16.66,7.15,24.06,18.44,10.45,18.54,12.45
MAR-28-21-00,34.61,62.15,20.44,27.16,51.00,24.93,46.70,64.51,38.71,48.77,59.66,29.06,37.21,33.79,27.76,25.37,21.66,27.66,37.93,28.10,36.27,17.30,18.40,15.75,34.32,26.67,33.53,26.30,37.02,33.43,39.60,32.70,52.90,27.40,30.68,19.26,37.70,21.86,28.07,19.95,19.18,15.46,17.94,18.39,26.77,10.53,28.41,17.52,20.63,15.96,26.49,18.96,14.37,19.07,29.74,12.44
MAR-29-20-00,21.00,9.82,11.37,13.02,12.91,14.82,27.08,30.08,20.57,20.04,22.96,26.40,39.65,37.33,23.33,39.84,27.50,48.77,24.26,18.44,17.85,17.51,21.63,28.40,20.93,29.26,29.92,36.53,24.29,49.08,65.27,73.99,54.45,44.59,47.54,38.70,19.83,13.22,13.34,9.34,20.71,13.00,10.56,12.62,11.73,11.61,14.93,16.70,33.60,17.33,12.06,15.63,34.01,14.31,25.62,14.50
MAR-29-21-00,25.68,50.15,22.73,37.64,30.29,45.06,36.78,45.32,39.14,45.29,55.44,39.72,54.66,59.12,45.08,48.03,29.02,29.93,80.65,39.00,18.28,37.53,17.43,28.75,26.60,34.93,41.87,42.41,51.99,25.43,39.13,39.68,58.67,29.47,78.01,37.80,31.53,15.83,22.69,12.17,15.14,13.23,21.86,17.58,19.18,17.57,23.30,23.12,25.35,18.74,23.99,20.64,34.87,17.91,34.10,15.36
MAR-30-13-30,28.64,56.93,18.28,59.18,21.27,51.57,91.93,106.30,56.05,85.52,43.40,74.48,149.19,63.83,43.14,62.06,62.83,26.15,41.28,34.99,21.15,26.45,24.20,22.40,61.43,74.21,67.54,19.73,51.31,70.23,80.25,50.55,75.25,36.65,44.06,36.67,22.91,27.13,30.71,16.53,28.55,23.40,11.55,15.72,38.75,59.05,36.55,44.60,13.84,13.82,17.70,11.30,26.67,11.58,44.25,27.49
MAR-30-14-30,30.73,10.51,17.26,29.08,27.97,15.74,36.00,12.82,21.95,17.67,19.92,26.31,48.60,19.51,18.35,26.10,24.16,16.04,36.57,9.14,23.53,12.33,25.30,12.96,30.80,19.91,30.62,23.91,21.48,27.13,53.60,45.61,35.81,39.99,26.03,53.37,34.09,14.55,14.37,12.32,12.33,23.06,11.03,15.95,14.00,15.83,18.50,24.57,12.77,21.12,42.42,27.24,23.66,17.18,24.11,10.93
MAR-30-15-30,68.99,52.61,50.12,38.04,22.48,54.92,30.46,37.25,39.40,25.66,41.31,52.43,45.43,37.42,28.27,48.30,22.05,34.03,41.50,34.37,41.26,27.01,32.05,27.19,38.64,40.32,32.64,25.85,30.17,34.70,27.01,31.46,25.05,29.17,32.36,26.66,24.01,18.72,21.20,23.10,22.23,18.74,21.76,27.62,24.58,17.37,26.47,25.26,25.23,36.22,18.91,19.23,17.49,19.18,31.74,11.03
MAR-30-19-00,23.63,21.61,22.96,16.99,25.24,25.69,20.28,30.71,34.78,26.62,30.91,33.00,41.46,33.93,24.78,42.51,42.77,20.72,28.69,22.15,29.47,16.50,21.35,20.40,25.28,23.49,43.91,18.75,30.61,23.86,26.07,39.47,36.16,24.83,23.80,26.99,16.60,15.53,14.49,11.30,13.27,9.49,8.57,10.41,16.14,8.50,18.49,10.84,19.08,11.20,21.76,12.07,13.44,14.76,23.08,9.32
MAR-31-15-00,37.15,18.93,10.47,47.96,13.27,29.68,42.10,61.41,49.60,48.11,26.50,26.36,44.06,35.18,26.75,26.90,26.57,48.87,26.06,11.70,24.07,10.01,26.04,7.99,27.55,16.89,20.57,26.53,16.83,44.38,33.09,37.88,53.27,16.55,45.80,18.86,19.38,18.61,14.41,8.08,14.14,6.85,9.80,15.81,11.35,11.48,21.30,17.38,10.39,15.89,9.33,8.93,16.64,9.20,24.50,14.06
MAR-31-16-00,19.58,9.88,15.36,9.11,23.00,6.66,14.34,14.60,15.36,14.97,14.94,13.95,19.62,13.17,14.38,11.37,13.35,14.06,21.34,12.23,9.91,9.01,16.19,7.71,17.90,15.46,19.03,12.96,12.34,9.23,14.34,13.30,33.15,12.17,19.27,11.43,15.36,8.07,8.11,5.14,7.47,6.52,9.08,6.30,12.27,8.38,7.30,9.95,11.20,12.94,11.86,12.40,13.54,9.80,12.97,4.90
MAR-31-17-30,32.94,65.57,36.40,52.39,53.20,38.60,50.92,65.85,47.70,40.03,63.85,53.09,54.59,48.59,23.11,67.45,36.99,44.49,31.68,61.07,21.60,36.76,23.73,29.51,23.13,42.98,29.59,31.46,75.35,28.97,33.96,15.46,61.78,41.33,61.62,131.72,61.33,112.34,28.14,34.83,19.61,31.76,32.10,39.10,23.16,49.39,20.64,25.50,48.33,67.61,64.48,26.96,36.40,33.21,44.67,21.68
map mean,24.77,26.12,18.85,22.95,23.57,23.06,31.89,36.29,32.23,30.31,33.14,31.75,42.12,36.88,27.83,34.19,26.80,28.92,30.44,21.25,19.42,15.95,19.20,17.82,25.48,28.09,27.98,22.95,28.42,25.73,37.41,34.71,38.80,28.19,32.38,31.51,23.57,19.66,14.52,12.52,13.87,13.36,13.94,15.26,16.29,16.52,17.63,17.33,18.57,21.85,19.65,17.88,18.96,15.49,24.52,15.16
map st dev,14.45,18.70,10.44,15.11,13.54,14.89,17.32,22.44,13.59,16.11,15.87,15.51,26.12,14.31,9.04,15.58,11.12,11.59,15.17,12.22,9.14,8.89,9.10,9.51,10.93,13.56,12.59,8.16,16.60,14.88,17.19,14.37,14.77,9.13,15.38,24.78,12.09,22.00,7.14,7.01,6.22,8.48,5.92,7.31,7.20,13.06,8.41,8.00,8.95,13.75,12.75,7.79,7.96,6.13,15.16,
