,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,subject mean,subject st dev
MAR-26-17-00,0.08,-0.06,0.46,0.50,-0.31,0.16,0.12,1.40,0.36,-0.10,-0.04,-0.24,0.23,-0.30,0.02,0.02,0.05,0.02,-0.29,0.66,0.47,0.53,-0.07,-0.90,-1.07,-0.54,-0.42,0.98,-0.12,0.10,0.77,0.06,0.17,-0.29,-0.72,-0.85,0.02,0.51
MAR-26-18-00,-1.76,-0.44,0.39,-4.02,-0.21,0.66,0.41,0.30,0.38,1.04,0.46,1.01,-1.36,-1.07,-1.31,-1.01,0.17,0.26,-0.37,0.69,0.71,0.36,0.73,0.23,-0.94,-1.08,-1.53,-1.15,-0.77,-0.36,-1.13,-0.25,0.04,-0.24,0.00,0.25,-0.30,1.00
MAR-26-22-00,-0.45,-0.57,-0.57,-1.19,1.48,0.31,0.35,-0.25,1.07,0.26,0.75,1.32,-0.55,-1.79,-1.36,-1.71,-1.47,-0.72,1.16,-1.51,1.27,0.81,-0.45,-0.81,-0.72,-2.10,-1.34,-1.80,-1.33,-1.19,-1.32,-0.94,-0.73,-0.87,-0.30,-0.49,-0.49,0.99
MAR-27-11-00,-0.40,-0.91,-0.82,0.94,1.14,0.40,1.20,0.40,0.30,0.73,0.69,0.40,0.49,0.08,-0.25,-0.09,1.34,0.74,1.49,-0.34,0.88,0.93,2.06,0.55,-0.58,-1.04,0.13,-0.82,1.05,0.16,0.37,-0.57,-0.91,-0.59,-0.11,-0.40,0.24,0.78
MAR-27-12-00,-0.67,-0.87,-1.00,-1.14,-0.64,-0.92,-0.47,-1.09,-0.77,-0.64,-0.69,-0.61,-0.49,0.09,-0.91,-1.52,-0.95,-1.40,-0.87,-0.93,-0.07,-0.50,-0.09,-0.38,-0.67,-0.39,-1.01,-1.49,-0.64,-2.11,-0.99,-1.58,-1.24,-1.59,-1.83,-1.34,-0.90,0.49
MAR-27-16-00,-1.12,-0.19,0.33,0.02,1.47,0.35,0.48,0.41,0.94,0.43,1.15,0.75,0.33,-0.02,-1.75,-1.15,0.37,-0.69,-0.37,-0.53,1.38,0.23,1.19,0.57,-1.29,-1.53,-0.26,-1.84,-0.04,-0.31,-0.07,-0.19,0.34,-0.15,-0.10,0.21,-0.02,0.83
MAR-27-17-00,0.92,0.03,1.64,0.27,1.55,0.70,1.84,1.34,0.90,0.83,0.56,1.42,0.75,-1.25,1.34,-1.47,0.76,0.27,1.54,-0.55,-0.27,1.26,0.27,1.10,-0.35,-0.19,0.33,-1.22,0.09,0.40,0.51,-0.41,-0.21,-0.17,-0.53,-0.65,0.37,0.86
MAR-27-17-30,-0.61,-0.57,-0.29,-1.17,0.66,0.40,0.63,-0.48,0.69,1.02,-0.30,0.72,-1.23,-0.60,-1.26,0.48,0.40,0.18,-0.17,0.74,0.37,0.14,0.86,0.56,-1.14,-1.34,-1.11,-1.20,-0.28,-1.13,-0.19,-0.51,0.23,1.09,0.40,0.57,-0.10,0.76
MAR-27-19-30,-1.23,-0.06,-0.80,-0.26,0.66,0.49,0.26,1.23,0.81,1.44,-0.06,0.52,0.05,-0.38,-0.31,-0.36,0.24,0.46,0.27,0.06,1.01,0.29,0.46,1.04,-1.23,-1.46,-1.23,-1.36,-0.46,-1.60,-0.98,-0.34,-0.45,-0.56,-0.18,-0.69,-0.13,0.79
MAR-27-20-00,-0.89,-0.57,-0.92,0.35,0.60,0.66,0.88,0.00,0.82,1.38,1.10,0.62,-0.96,-0.81,-0.68,0.25,0.22,0.40,-0.45,-0.17,1.26,0.52,0.85,0.35,-1.25,-0.62,-0.76,-1.57,-0.68,-0.55,-1.23,-0.97,-1.25,-0.36,-0.51,-0.33,-0.15,0.80
MAR-27-21-00,-0.38,2.16,0.72,1.01,0.87,1.24,0.89,1.33,-0.02,0.75,0.38,1.43,-0.11,0.37,-0.65,0.08,0.57,0.36,0.67,0.08,0.10,0.68,0.40,1.28,-0.54,-1.22,-0.66,-0.47,1.06,-0.56,-0.23,-0.31,-0.07,-0.05,-0.18,-1.79,0.26,0.80
MAR-27-21-30,1.61,0.88,1.22,1.86,1.11,1.18,1.19,1.27,0.31,1.50,0.52,1.38,0.08,0.73,0.14,1.20,1.43,0.29,1.47,0.99,0.58,1.77,-0.06,0.71,-0.29,0.78,-0.58,-0.36,-0.22,-0.27,-0.74,-0.48,0.73,0.11,-0.14,-2.60,0.54,0.91
