,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean,st dev
MAR-26-17-00,-0.14,-0.27,-0.52,-0.66,-0.78,-0.75,-0.51,-0.30,-0.55,-0.88,-0.85,-0.94,-0.04,0.00,-0.39,-0.40,-0.46,-0.19,-0.19,-0.19,-0.09,-0.78,-0.83,-0.85,-0.41,-0.40,-0.37,-0.31,-0.77,-0.32,-0.05,0.00,-0.27,-0.05,-0.70,-0.09,-0.62,-0.64,-0.17,-0.88,-0.22,-0.82,-0.80,-0.85,-0.80,-0.95,-0.15,-0.77,-0.97,-0.97,-0.94,-0.05,-0.94,-0.79,-0.51,0.32
MAR-26-18-00,-0.97,-0.97,-0.90,-0.97,-0.95,-0.89,-0.41,-0.20,-0.57,-0.40,-0.86,-0.91,-0.04,-0.01,-0.85,-0.96,-0.42,-0.20,-0.68,-0.38,-0.88,-0.86,-0.93,-0.93,-0.17,-0.45,-0.62,-0.36,-0.77,-0.33,0.00,-0.54,-0.06,-0.02,-0.05,-0.09,-0.68,-0.68,-0.91,-0.82,-0.99,-0.99,-0.84,-0.69,-0.90,-0.95,-0.89,-0.92,0.00,-0.97,-0.05,-0.05,-0.69,-0.71,-0.60,0.35
MAR-26-22-00,-0.52,-0.86,-0.95,-0.95,-1.00,-1.00,-0.23,-0.87,-0.31,-0.79,-0.83,-0.81,-0.02,-0.01,-0.67,-0.87,-0.43,-0.48,-0.15,-0.75,-0.86,-0.86,-0.93,-0.93,-0.26,-0.18,-0.37,-0.62,-0.74,-0.74,0.00,0.00,-0.22,-0.15,-0.29,-0.96,-0.61,-0.68,-0.82,-0.91,-0.99,-0.99,-0.91,-0.84,-0.92,-0.95,-0.89,-0.89,0.00,0.00,-0.03,-0.99,-0.94,-0.71,-0.62,0.35
MAR-27-11-00,-0.86,-0.86,-0.85,-0.95,-1.00,-0.89,-0.28,-0.16,-0.05,-0.31,-0.89,-0.89,-0.85,-0.85,-0.72,-0.80,-0.41,-0.41,-0.46,-0.38,-0.40,-0.86,-0.92,-0.93,-0.46,-0.28,-0.23,-0.26,-0.12,-0.74,0.00,0.00,-0.03,-0.03,-0.67,-0.67,-0.68,-0.27,-0.97,-0.91,-0.99,-0.92,-0.61,-0.88,-0.91,-0.81,-0.97,-0.96,0.00,0.00,-0.03,-0.99,-0.79,-0.71,-0.59,0.35
MAR-27-12-00,-0.10,-0.55,-0.62,-0.73,-0.76,-0.87,-0.75,-0.69,-0.41,-0.89,-0.40,-0.89,-0.02,0.00,-0.83,-0.17,-0.45,-0.06,-0.67,-0.06,-0.27,-0.86,-0.93,-0.87,-0.36,-0.24,-0.07,-0.35,-0.16,-0.12,0.00,0.00,-0.03,-0.18,-0.01,-0.15,-0.01,-0.03,-0.82,-0.70,-0.22,-0.21,-0.91,-0.91,-0.04,-0.14,-0.05,-0.89,0.00,0.00,-0.05,-0.99,-0.79,-0.82,-0.41,0.36
MAR-27-16-00,-0.97,-0.97,-0.97,-0.05,-0.89,-0.11,-0.17,-0.36,-0.04,-0.82,-0.90,-0.19,-0.02,-0.04,-0.37,-0.36,-0.41,-0.39,-0.19,-0.14,-0.03,-0.86,-0.16,-0.93,-0.01,-0.02,-0.02,-0.43,-0.30,-0.38,0.00,0.00,-0.08,-0.08,-0.07,-0.16,-0.56,-0.61,-0.04,-0.82,-0.22,-0.99,-0.04,-0.85,-0.90,-0.95,-0.15,-0.77,0.00,0.00,-0.01,-0.05,-0.97,-0.71,-0.38,0.37
MAR-27-17-00,-0.16,-0.97,-0.66,-0.97,-0.35,-0.89,-0.22,-0.09,-0.09,-0.19,-0.89,-0.76,0.00,-0.24,-0.73,-0.10,-0.42,-0.39,-0.22,-0.57,-0.82,-0.86,-0.84,-0.93,-0.47,-0.15,-0.66,-0.72,-0.15,-0.76,0.00,-0.26,-0.08,-0.11,-0.29,-0.33,-0.66,-0.61,-0.18,-0.82,-0.99,-0.99,-0.85,-0.91,-0.91,-0.95,-0.05,-0.99,0.00,-0.97,-0.03,0.00,-0.69,-0.71,-0.51,0.35
MAR-27-17-30,-0.86,-0.68,-0.95,-0.95,-1.00,-1.00,-0.21,-0.37,-0.37,-0.19,-0.41,-0.41,0.00,-0.29,-0.71,-0.36,-0.44,-0.10,-0.36,-0.38,-0.95,-0.95,-0.99,-0.93,-0.44,-0.36,-0.31,-0.37,-0.70,-0.07,0.00,0.00,-0.05,-0.05,-0.02,-0.03,-0.32,-0.61,-0.82,-0.82,-0.99,-0.99,-0.11,-0.85,-0.67,-0.95,-0.77,-0.91,0.00,-0.02,-0.03,-0.01,-0.06,-0.01,-0.47,0.37
MAR-27-19-30,-0.97,-0.97,-0.97,-0.97,-0.89,-0.89,-0.17,-0.17,-0.17,-0.91,-0.88,-0.11,-0.04,0.00,-0.67,-0.44,-0.42,-0.41,-0.30,-0.31,-0.95,-0.95,-0.93,-0.99,-0.44,-0.34,-0.39,-0.35,-0.34,-0.29,0.00,0.00,-0.08,-0.09,-0.15,-0.40,-0.68,-0.61,-0.82,-0.82,-0.99,-0.99,-0.84,-0.85,-0.92,-0.95,-0.85,-0.83,-0.97,0.00,-0.03,-0.99,-0.79,-0.71,-0.57,0.36
MAR-27-20-00,-0.97,-0.86,-0.95,-0.95,-1.00,-0.42,-0.22,-0.85,-0.63,-0.76,-0.77,-0.85,-0.24,0.00,-0.89,-0.81,-0.42,-0.96,-0.75,-0.75,-0.95,-0.95,-0.99,-0.83,-0.44,-0.47,-0.41,-0.78,-0.35,-0.74,0.00,0.00,-0.03,-0.11,-0.09,-0.09,-0.61,-0.61,-0.91,-0.71,-0.92,-0.82,-0.75,-0.96,-0.89,-0.74,-0.89,-0.84,0.00,0.00,-0.05,-0.99,-0.69,-0.71,-0.62,0.34
