,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean,st dev
MAR-26-17-00,1.216603834,1.139455094,1.06693696,1.043132478,1.025770698,1.029739053,1.070443138,1.126561886,1.060671182,1.013015588,1.015932927,1.006299697,1.381003038,2.466114173,1.099041751,1.096965575,1.079900208,1.181609733,1.180464268,1.178463187,1.279238911,1.024730453,1.01883769,1.016858156,1.093896246,1.097085705,1.103696425,1.124507451,1.026155741,1.11975954,1.337887527,3.235400729,1.140672972,1.34612985,1.036859095,1.274659334,1.049198611,1.045939054,1.19717186,1.012342926,1.164484683,1.019984618,1.022362776,1.016933835,1.023041804,1.005071374,1.207985204,1.027074214,1.002747252,1.002747252,1.006406016,1.353248084,1.005720039,1.023582651,1.165565603,0.36
MAR-26-18-00,1.002805788,1.002805788,1.011075123,1.002737901,1.00471097,1.012118439,1.094218688,1.174791234,1.057750476,1.09727605,1.015175479,1.009707758,1.391797733,1.62724669,1.016431505,1.004219074,1.091186132,1.172769973,1.039818358,1.100614951,1.013341341,1.015561129,1.006839125,1.006839125,1.195822134,1.083614569,1.048477906,1.107182758,1.026896096,1.118852514,2.027616501,1.062611214,1.335593158,1.457866446,1.340992276,1.268024032,1.040073701,1.040073701,1.009608668,1.01951557,1.000766419,1.000766419,1.017376807,1.038533156,1.010925882,1.005071374,1.011972845,1.008470831,2.080337542,1.002747252,1.353248084,1.34823539,1.038246836,1.035014818,1.131599514,0.23
MAR-26-22-00,1.067012761,1.015653772,1.00532239,1.00532239,1,1,1.158633815,1.01357537,1.124310408,1.024360227,1.019353214,1.020948758,1.517858491,1.522021316,1.040764022,1.013795576,1.088960558,1.07637672,1.210855662,1.02909744,1.015561129,1.015561129,1.006839125,1.006839125,1.142707214,1.188821981,1.105254792,1.048477906,1.030979111,1.030979111,2.880117444,2.40971737,1.164161525,1.206996326,1.131691676,1.003819722,1.051327761,1.040073701,1.01951557,1.009608668,1.000766419,1.000766419,1.010031064,1.017376807,1.008717053,1.005071374,1.011972845,1.011275038,2.080337542,2.080337542,1.411280164,1.001393323,1.005720039,1.035014818,1.169320995,0.37
MAR-27-11-00,1.015653772,1.015653772,1.016837701,1.00532239,1,1.012118439,1.13674275,1.203655041,1.358787322,1.124310408,1.011433837,1.011470714,1.016753558,1.016753558,1.033837496,1.022825253,1.092537968,1.093929964,1.080678753,1.100614951,1.097009732,1.015561129,1.007854319,1.006839125,1.080508048,1.134413236,1.158926776,1.142203198,1.235449702,1.030979111,3.218791012,3.213493254,1.434913877,1.442537412,1.04051799,1.04051799,1.040073701,1.141143917,1.003224428,1.009608668,1.000766419,1.008120655,1.050105543,1.013187169,1.009642122,1.02159294,1.002936632,1.004121665,7.119054695,2.080337542,1.411280164,1.001393323,1.023582651,1.035014818,1.289733715,0.92
MAR-27-12-00,1.256471364,1.061554262,1.049159654,1.031536555,1.027903471,1.014222864,1.029549103,1.038076358,1.09225841,1.012136377,1.096125804,1.011589072,1.518285745,1.975598416,1.018769749,1.190866648,1.082497276,1.331913358,1.041181676,1.332518683,1.141755006,1.015561129,1.006839125,1.013525124,1.107967509,1.152743827,1.307980316,1.109919991,1.201890897,1.231872312,3.248799101,3.523538486,1.426886546,1.185047906,1.522097507,1.206960876,1.558013728,1.43606964,1.01951557,1.036279035,1.162307929,1.169538623,1.010031064,1.010031064,1.393714869,1.214887831,1.347263035,1.011972845,7.119054695,7.540995918,1.353248084,1.001393323,1.023582651,1.020350634,1.482293538,1.25
MAR-27-16-00,1.002805788,1.002805788,1.002737901,1.36087741,1.012118439,1.244525672,1.197341364,1.107587178,1.374283532,1.019651434,1.010194825,1.178681142,1.519474203,1.39124288,1.105503511,1.108364123,1.092888297,1.098615323,1.181760015,1.215101006,1.437082751,1.015561129,1.200551563,1.006839125,1.616872526,1.514544772,1.471600753,1.087137986,1.126542441,1.101328781,3.218791012,3.156179798,1.289546554,1.286890373,1.311518429,1.198607565,1.059206678,1.051327761,1.371028274,1.01951557,1.162019748,1.000766419,1.363891739,1.016933835,1.010925882,1.005071374,1.206108704,1.027074214,8.662371563,2.215367338,1.553457324,1.34823539,1.003232018,1.035014818,1.414401927,1.10
MAR-27-17-00,1.200605484,1.002805788,1.041896659,1.002737901,1.110595616,1.012118439,1.161857273,1.27664384,1.275867625,1.182223985,1.011654463,1.027525892,2.585962154,1.151079748,1.031886348,1.259426808,1.089882149,1.097857703,1.164990902,1.058490925,1.020265657,1.015561129,1.017069057,1.006839125,1.078923214,1.206041856,1.04224733,1.034095258,1.211068757,1.028298813,3.236237253,1.142083456,1.289607281,1.250713312,1.131691676,1.11643036,1.042548652,1.051327761,1.189165173,1.01951557,1.000766419,1.000766419,1.016529542,1.010031064,1.009642122,1.005071374,1.345760513,1.001317458,2.080337542,1.002747252,1.440641875,1.852067947,1.038246836,1.035014818,1.198421881,0.40
MAR-27-17-30,1.015653772,1.038955312,1.00532239,1.00532239,1,1,1.166169506,1.103136575,1.105476006,1.182574433,1.092270279,1.092270279,2.199302696,1.133363499,1.034302261,1.107617063,1.085627234,1.261802902,1.108765698,1.100614951,1.005482024,1.005482024,1.001240977,1.006839125,1.085067552,1.106660706,1.123361628,1.105088737,1.036746308,1.311875565,3.214329778,3.28333808,1.357033859,1.357033859,1.508293174,1.438366444,1.11929162,1.051327761,1.01951557,1.01951557,1.000766419,1.000766419,1.245339656,1.016933835,1.041533854,1.005071374,1.026315042,1.009726817,1.875546273,1.45461743,1.411280164,1.662501528,1.315287154,1.532940058,1.251723401,0.46
MAR-27-19-30,1.002805788,1.002805788,1.002737901,1.002737901,1.012118439,1.012118439,1.196279707,1.19383686,1.191535356,1.00971484,1.012979317,1.247172677,1.391797733,2.468284738,1.040764022,1.08633722,1.091186132,1.093335748,1.128248131,1.124054846,1.005482024,1.005482024,1.006839125,1.001240977,1.085425083,1.112456394,1.099820114,1.110578876,1.115136507,1.131840719,1.94839557,3.81247804,1.289607281,1.267906338,1.206960876,1.095050523,1.040073701,1.051327761,1.01951557,1.01951557,1.000766419,1.000766419,1.017376807,1.016933835,1.008717053,1.005071374,1.016539273,1.018603384,1.002747252,3.022205538,1.411280164,1.001393323,1.023582651,1.035014818,1.209573759,0.51
MAR-27-20-00,1.002805788,1.015653772,1.00532239,1.00532239,1,1.089902131,1.163251997,1.016591995,1.047011571,1.028357442,1.026943187,1.01599035,1.151320913,2.468284738,1.011940583,1.020712162,1.091186132,1.004310506,1.02909744,1.02909744,1.005482024,1.005482024,1.001240977,1.019044635,1.085425083,1.079381073,1.092893359,1.024789826,1.112165891,1.030979111,3.218791012,3.298011943,1.403193291,1.250713312,1.268306678,1.274659334,1.051327761,1.051327761,1.009608668,1.034223953,1.008120655,1.019955533,1.028572076,1.004446495,1.011500275,1.029948887,1.011972845,1.017370626,2.080337542,2.080337542,1.353248084,1.001393323,1.038246836,1.035014818,1.208529929,0.49
MAR-27-21-00,1.044234922,1.056662221,1.00532239,1.051624404,1.096692746,1.028150566,1.283318236,1.504463561,1.135823222,1.10312545,1.093489417,1.488090375,1.191912889,2.523462786,1.020257337,1.186445488,1.075548284,2.321446578,1.26856771,1.053976107,1.177227204,1.010231823,1.200551563,1.202298893,1.132183309,1.096316037,1.31930324,1.198990093,1.24107253,1.2295397,1.507128616,2.265189864,1.337674873,1.553112215,1.157479073,1.268024032,1.734555068,1.225104133,1.371028274,1.009747501,1.025590713,1.171682007,1.216379005,1.010839366,1.646526348,1.187225013,1.030153889,1.176287315,8.769841122,8.916157163,1.006406016,1.52805434,1.005720039,1.514351442,1.555084935,1.48
MAR-27-21-30,1.043285376,1.082091437,1.092575875,1.015626503,1.074666092,1.396919081,1.158861751,1.016362954,1.148623609,1.098190916,1.174110534,1.179192643,1.390182021,1.29816332,1.094986247,1.336922219,1.08865039,1.260467949,1.10177862,1.33066358,1.138842929,1.111837724,1.023119659,1.645404903,1.221419963,1.119564719,1.108686004,1.109244542,1.205078779,1.688016672,2.191356841,1.981638218,1.418165686,1.206996326,1.206960876,1.074832419,1.051327761,1.229137007,1.204925192,1.356709113,1.00988028,1.000766419,1.017376807,1.010031064,1.009642122,1.005071374,1.189593192,1.01688019,8.662371563,7.540995918,1.006406016,1.34823539,1.023582651,1.304745254,1.459651198,1.34
MAR-27-22-30,1.002805788,1.002805788,1.076203797,1.002737901,1,1.012118439,1.192166337,1.172298037,1.165933773,1.010495531,1.15521171,1.020790523,1.52045631,1.517303638,1.016431505,1.023339131,1.08777685,1.10282326,1.202505921,1.142681634,1.266120666,1.005482024,1.109101972,1.296683154,1.284586881,1.207427315,1.103480167,1.109919991,1.108326807,1.109515449,3.235400729,1.57313979,1.213866339,1.420617551,1.921849719,2.040443295,1.933104516,1.599596742,1.003224428,1.009608668,1.000766419,1.000766419,1.017376807,1.010031064,1.008405938,1.005071374,1.55687613,1.019217798,6.520148707,1.45461743,1.440641875,1.409886841,1.304745254,1.017862612,1.347125866,0.81
