,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean z-score
MAR-26-17-00,1.15,0.75,-0.04,-0.45,-0.82,-0.73,0.02,0.65,-0.14,-1.14,-1.07,-1.33,1.47,1.59,0.38,0.36,0.15,1.00,1.00,0.99,1.33,-0.85,-0.99,-1.04,0.32,0.36,0.43,0.63,-0.81,0.59,1.42,1.59,0.76,1.43,-0.58,1.32,-0.33,-0.39,1.08,-1.16,0.91,-0.96,-0.90,-1.04,-0.89,-1.37,1.12,-0.79,-1.44,-1.44,-1.33,1.44,-1.35,-0.87,-0.08
MAR-26-18-00,-1.06,-1.06,-0.85,-1.07,-1.01,-0.82,0.55,1.13,0.08,0.58,-0.74,-0.88,1.60,1.68,-0.71,-1.03,0.51,1.12,-0.22,0.61,-0.79,-0.74,-0.96,-0.96,1.23,0.43,-0.07,0.67,-0.48,0.78,1.70,0.15,1.54,1.64,1.55,1.44,-0.22,-0.22,-0.88,-0.64,-1.12,-1.12,-0.69,-0.25,-0.85,-1.00,-0.82,-0.91,1.70,-1.07,1.56,1.56,-0.25,-0.31,-0.32
MAR-26-22-00,0.29,-0.67,-0.93,-0.93,-1.08,-1.08,1.13,-0.72,0.90,-0.47,-0.58,-0.54,1.75,1.75,-0.14,-0.71,0.57,0.42,1.37,-0.37,-0.67,-0.67,-0.89,-0.89,1.03,1.28,0.74,0.00,-0.33,-0.33,1.79,1.79,1.16,1.35,0.96,-0.97,0.05,-0.15,-0.58,-0.82,-1.06,-1.06,-0.81,-0.63,-0.84,-0.94,-0.76,-0.78,1.79,1.79,1.70,-1.04,-0.92,-0.25,-0.39
MAR-27-11-00,-0.77,-0.77,-0.74,-1.03,-1.18,-0.86,0.90,1.25,1.56,0.81,-0.87,-0.87,-0.74,-0.74,-0.37,-0.60,0.51,0.52,0.37,0.59,0.56,-0.77,-0.97,-0.99,0.37,0.88,1.04,0.94,1.35,-0.42,1.70,1.70,1.62,1.62,-0.24,-0.24,-0.25,0.93,-1.09,-0.92,-1.16,-0.96,-0.07,-0.83,-0.92,-0.63,-1.10,-1.07,1.70,1.70,1.61,-1.14,-0.58,-0.34,-0.30
MAR-27-12-00,0.86,-0.40,-0.59,-0.91,-0.99,-1.29,-0.95,-0.79,-0.01,-1.34,0.03,-1.36,1.11,1.15,-1.19,0.66,-0.12,0.99,-0.73,0.99,0.40,-1.26,-1.48,-1.31,0.14,0.47,0.96,0.16,0.70,0.80,1.15,1.15,1.07,0.64,1.11,0.72,1.12,1.08,-1.17,-0.82,0.53,0.56,-1.40,-1.40,1.05,0.75,1.01,-1.35,1.15,1.15,1.02,-1.62,-1.08,-1.15,0.20
MAR-27-16-00,-1.61,-1.61,-1.61,0.91,-1.38,0.73,0.59,0.06,0.92,-1.21,-1.43,0.51,0.99,0.94,0.04,0.06,-0.08,-0.03,0.52,0.65,0.96,-1.30,0.60,-1.51,1.01,0.99,0.98,-0.15,0.21,0.00,1.04,1.04,0.82,0.82,0.86,0.59,-0.50,-0.62,0.92,-1.21,0.43,-1.67,0.91,-1.27,-1.41,-1.55,0.62,-1.05,1.04,1.04,1.00,0.90,-1.60,-0.90,0.28
MAR-27-17-00,1.00,-1.30,-0.43,-1.31,0.46,-1.06,0.82,1.20,1.20,0.92,-1.07,-0.71,1.45,0.76,-0.62,1.17,0.25,0.34,0.84,-0.15,-0.87,-0.98,-0.94,-1.20,0.13,1.02,-0.42,-0.58,1.03,-0.69,1.45,0.70,1.23,1.15,0.63,0.51,-0.42,-0.27,0.95,-0.89,-1.36,-1.36,-0.95,-1.11,-1.12,-1.24,1.31,-1.35,1.45,-1.31,1.38,1.45,-0.50,-0.56,-0.08
MAR-27-17-30,-1.06,-0.59,-1.31,-1.31,-1.45,-1.45,0.69,0.25,0.27,0.76,0.14,0.14,1.27,0.49,-0.67,0.29,0.07,1.01,0.30,0.23,-1.31,-1.31,-1.42,-1.27,0.07,0.28,0.42,0.27,-0.63,1.09,1.27,1.27,1.14,1.14,1.23,1.20,0.39,-0.38,-0.97,-0.97,-1.43,-1.43,0.97,-1.03,-0.54,-1.32,-0.83,-1.20,1.27,1.21,1.19,1.26,1.10,1.23,0.04
MAR-27-19-30,-1.11,-1.11,-1.11,-1.11,-0.87,-0.87,1.13,1.12,1.11,-0.93,-0.85,1.29,1.49,1.60,-0.27,0.38,0.43,0.46,0.76,0.73,-1.04,-1.04,-1.00,-1.15,0.37,0.64,0.52,0.62,0.66,0.79,1.59,1.60,1.38,1.34,1.17,0.47,-0.28,-0.09,-0.70,-0.70,-1.16,-1.16,-0.75,-0.76,-0.95,-1.05,-0.76,-0.72,-1.11,1.60,1.51,-1.15,-0.61,-0.38,-0.26
MAR-27-20-00,-1.05,-0.71,-0.98,-0.98,-1.13,0.58,1.17,-0.68,-0.04,-0.41,-0.44,-0.70,1.10,1.83,-0.80,-0.58,0.59,-1.01,-0.39,-0.39,-0.97,-0.97,-1.09,-0.62,0.52,0.45,0.61,-0.49,0.81,-0.35,1.83,1.83,1.73,1.51,1.55,1.57,0.03,0.03,-0.86,-0.29,-0.90,-0.60,-0.40,-1.00,-0.81,-0.38,-0.80,-0.66,1.82,1.82,1.68,-1.09,-0.21,-0.27,-0.38
