DENSITY,DE,DE,DE,DE,DE,DE,ME,ME,ME,ME,ME,ME,SP,SP,SP,SP,SP,SP
TRAFFIC,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO
VIZ,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO
MAR-26-17-00,1.148755571,1.121285778,1.18111591,1.026735286,1.06969769,1.022193942,1.062234053,1.080193809,1.062469803,1.047531471,1.083357957,1.051044484,1.240545939,2.234754051,1.082040246,1.265447836,1.040826447,1.159950573
MAR-26-18-00,1.027565949,1.04783148,1.011341711,1.012604867,1.004105505,1.006574661,1.102472543,1.098979653,1.039051421,1.069843394,1.018014807,1.045677034,1.833250592,1.230868385,1.235090916,1.27010697,1.156808415,1.158602941
MAR-26-22-00,1.109732061,1.028274971,1.013466363,1.010164062,1.002535181,1.002535181,1.103790698,1.073258053,1.079427418,1.025969835,1.02076839,1.021067636,2.159437825,2.004025409,1.205401904,1.074061741,1.075457424,1.038403753
MAR-27-11-00,1.045468742,1.085804213,1.039023954,1.010164062,1.00287358,1.009026073,1.08911878,1.117085149,1.175785407,1.096035515,1.08327339,1.01552383,3.784866422,2.103528118,1.293343846,1.155585329,1.05221287,1.056487591
MAR-27-12-00,1.285222256,1.276714195,1.07014341,1.02779224,1.065683508,1.065762203,1.049182559,1.066950416,1.264651198,1.112314733,1.215093245,1.085144743,3.962046514,4.34671094,1.26630146,1.125769292,1.209392478,1.186408289
MAR-27-16-00,1.081257494,1.089744852,1.270282975,1.131984703,1.124896583,1.084043739,1.392701876,1.213021929,1.285603389,1.037286931,1.11428199,1.102361379,4.466878926,2.254263339,1.31616913,1.247829962,1.135879581,1.110745902
MAR-27-17-00,1.136048346,1.037541491,1.08377583,1.012604867,1.042810364,1.006574661,1.08577001,1.16423892,1.109252359,1.073796872,1.189494577,1.019047388,2.634178983,1.098636819,1.254045168,1.454069355,1.086606887,1.083100961
MAR-27-17-30,1.08123703,1.063632675,1.010106661,1.010106661,1.000669132,1.002535181,1.165525571,1.075577039,1.090123829,1.097578181,1.05177721,1.137957554,2.429726249,1.957106336,1.267538761,1.375717483,1.303069188,1.411036468
MAR-27-19-30,1.05704254,1.059396132,1.009245165,1.009245165,1.006574661,1.004708612,1.099693866,1.107742363,1.100024174,1.041788363,1.048218366,1.132538926,1.447646852,3.100989439,1.247217156,1.118545627,1.10724322,1.07446703
MAR-27-20-00,1.027743663,1.032026324,1.006804361,1.015009456,1.003120544,1.042967433,1.092416385,1.033473187,1.050468402,1.027698718,1.050360641,1.021446696,2.150149822,2.615544741,1.25612732,1.090939599,1.132579882,1.104661553
MAR-27-21-00,1.349119233,1.111914154,1.184525956,1.023867909,1.107611674,1.134043822,1.21062685,1.203872988,1.367217603,1.163113518,1.121571945,1.297972463,3.822960875,4.568269938,1.121446075,1.422537347,1.079582465,1.701274017
MAR-27-21-30,1.065463919,1.213964008,1.145447999,1.161391113,1.035888677,1.347696801,1.132552841,1.048652913,1.088983912,1.070835611,1.189594168,1.294696502,4.081303475,3.606932485,1.173185983,1.297384645,1.106397973,1.213348541
MAR-27-22-30,1.379472075,1.248361388,1.115182964,1.005942864,1.036622797,1.103189337,1.164710008,1.129918805,1.092606626,1.041828966,1.273471549,1.049841257,3.758668582,1.515020286,1.223646573,1.284614508,1.438123941,1.387043056
MAR-28-10-00,1.240092069,1.059186246,1.144745613,1.145007282,1.207207356,1.044682005,1.099253542,1.093041652,1.30991311,1.183389652,1.13894419,1.214947271,2.018313239,1.413127658,1.236183992,1.18769736,1.05605254,1.178180507
MAR-28-14-00,1.144202556,1.276379863,1.197008442,1.232662326,1.046298765,1.650124604,1.350270214,1.636548084,1.179162515,1.451454167,1.158841078,1.413462987,4.375700328,2.041164936,1.75265466,1.7960863,2.071452245,1.81844412
MAR-28-16-00,1.265146765,1.032026324,1.159621839,1.010106661,1.092823333,1.000669132,1.171205138,1.092058774,1.177431415,1.164312434,1.268235306,1.169894774,2.847929365,1.691006506,1.63198583,1.257924381,1.187549993,1.408605963
