,P1-DE-HI-DI,P1-DE-HI-GO,P1-DE-ME-DI,P1-DE-ME-GO,P1-DE-LO-DI,P1-DE-LO-GO,P1-ME-HI-DI,P1-ME-HI-GO,P1-ME-ME-DI,P1-ME-ME-GO,P1-ME-LO-DI,P1-ME-LO-GO,P1-SP-HI-DI,P1-SP-HI-GO,P1-SP-ME-DI,P1-SP-ME-GO,P1-SP-LO-DI,P1-SP-LO-GO,P2-DE-HI-DI,P2-DE-HI-GO,P2-DE-ME-DI,P2-DE-ME-GO,P2-DE-LO-DI,P2-DE-LO-GO,P2-ME-HI-DI,P2-ME-HI-GO,P2-ME-ME-DI,P2-ME-ME-GO,P2-ME-LO-DI,P2-ME-LO-GO,P2-SP-HI-DI,P2-SP-HI-GO,P2-SP-ME-DI,P2-SP-ME-GO,P2-SP-LO-DI,P2-SP-LO-GO,P3-DE-HI-DI,P3-DE-HI-GO,P3-DE-ME-DI,P3-DE-ME-GO,P3-DE-LO-DI,P3-DE-LO-GO,P3-ME-HI-DI,P3-ME-HI-GO,P3-ME-ME-DI,P3-ME-ME-GO,P3-ME-LO-DI,P3-ME-LO-GO,P3-SP-HI-DI,P3-SP-HI-GO,P3-SP-ME-DI,P3-SP-ME-GO,P3-SP-LO-DI,P3-SP-LO-GO,mean,st dev,subject z-score
MAR-26-17-00,0.88,0.85,0.51,0.09,-0.53,-0.35,0.55,0.83,0.43,-1.27,-1.07,-1.82,0.89,0.89,0.75,0.74,0.64,0.87,0.87,0.87,0.88,-0.58,-0.89,-1.01,0.73,0.74,0.77,0.82,-0.51,0.81,0.89,0.89,0.85,0.89,-0.09,0.88,0.23,0.16,0.88,-1.32,0.87,-0.83,-0.70,-1.01,-0.66,-1.94,0.88,-0.47,-2.17,-2.17,-1.81,0.89,-1.88,-0.63,-0.26,0.30,0.20
MAR-26-18-00,-1.47,-1.47,-0.84,-1.47,-1.31,-0.78,0.96,1.08,0.68,0.97,-0.59,-0.93,1.09,1.09,-0.52,-1.35,0.95,1.08,0.35,0.98,-0.70,-0.57,-1.14,-1.14,1.09,0.91,0.53,1.00,-0.05,1.03,1.09,0.74,1.09,1.09,1.09,1.09,0.35,0.35,-0.94,-0.37,-1.65,-1.65,-0.47,0.31,-0.85,-1.28,-0.78,-1.02,1.09,-1.47,1.09,1.09,0.31,0.22,-0.39,0.36,-1.16
MAR-26-22-00,0.86,-0.49,-1.18,-1.18,-1.65,-1.65,1.15,-0.61,1.12,-0.07,-0.30,-0.22,1.17,1.17,0.45,-0.60,1.02,0.94,1.17,0.11,-0.50,-0.50,-1.07,-1.07,1.14,1.17,1.08,0.61,0.17,0.17,1.17,1.17,1.16,1.17,1.13,-1.31,0.66,0.43,-0.29,-0.87,-1.58,-1.58,-0.84,-0.40,-0.93,-1.20,-0.71,-0.76,1.17,1.17,1.17,-1.52,-1.15,0.30,-0.42,0.35,-1.47
MAR-27-11-00,-0.63,-0.63,-0.56,-1.34,-1.82,-0.85,1.04,1.07,1.08,1.02,-0.89,-0.89,-0.57,-0.57,0.14,-0.27,0.93,0.94,0.87,0.97,0.95,-0.64,-1.14,-1.22,0.87,1.04,1.06,1.05,1.08,0.05,1.08,1.08,1.08,1.08,0.33,0.33,0.32,1.04,-1.52,-1.01,-1.74,-1.12,0.53,-0.78,-1.01,-0.32,-1.54,-1.44,1.08,1.08,1.08,-1.68,-0.23,0.18,-0.37,0.35,-0.99
MAR-27-12-00,0.75,0.29,0.07,-0.47,-0.63,-1.42,-0.55,-0.23,0.58,-1.58,0.60,-1.63,0.75,0.75,-1.12,0.74,0.52,0.75,-0.14,0.75,0.72,-1.33,-2.04,-1.48,0.65,0.73,0.75,0.65,0.75,0.75,0.75,0.75,0.75,0.74,0.75,0.75,0.75,0.75,-1.07,-0.29,0.73,0.74,-1.75,-1.75,0.75,0.75,0.75,-1.60,0.75,0.75,0.75,-2.60,-0.84,-1.02,-0.21,0.28,0.75
MAR-27-16-00,-2.06,-2.06,-2.07,0.66,-1.33,0.65,0.65,0.56,0.66,-0.89,-1.46,0.65,0.66,0.66,0.56,0.57,0.51,0.53,0.65,0.65,0.66,-1.11,0.65,-1.72,0.66,0.66,0.66,0.48,0.60,0.54,0.66,0.66,0.66,0.66,0.66,0.65,0.23,0.11,0.66,-0.89,0.64,-2.26,0.66,-1.03,-1.41,-1.86,0.65,-0.55,0.66,0.66,0.66,0.66,-2.02,-0.27,-0.22,0.33,0.69
MAR-27-17-00,0.87,-1.78,0.15,-1.79,0.79,-1.07,0.86,0.88,0.88,0.87,-1.10,-0.29,0.88,0.85,-0.13,0.88,0.72,0.75,0.86,0.45,-0.60,-0.85,-0.77,-1.45,0.66,0.87,0.16,-0.06,0.87,-0.26,0.88,0.85,0.88,0.88,0.83,0.81,0.17,0.34,0.87,-0.64,-1.98,-1.98,-0.80,-1.21,-1.24,-1.59,0.88,-1.92,0.88,-1.79,0.88,0.88,0.06,-0.03,-0.30,0.34,-0.19
MAR-27-17-30,-0.86,0.02,-1.53,-1.53,-1.98,-1.98,0.75,0.67,0.67,0.76,0.63,0.63,0.77,0.73,-0.11,0.68,0.60,0.76,0.68,0.66,-1.52,-1.52,-1.87,-1.41,0.59,0.68,0.71,0.67,-0.04,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.71,0.26,-0.66,-0.66,-1.91,-1.91,0.76,-0.79,0.08,-1.55,-0.37,-1.21,0.77,0.77,0.77,0.77,0.77,0.77,-0.28,0.36,0.04
MAR-27-19-30,-1.41,-1.41,-1.41,-1.41,-0.76,-0.76,0.99,0.99,0.99,-0.91,-0.71,0.99,1.00,1.00,0.32,0.84,0.86,0.87,0.95,0.95,-1.20,-1.20,-1.10,-1.54,0.83,0.92,0.89,0.92,0.93,0.96,1.00,1.00,0.99,0.99,0.99,0.87,0.30,0.51,-0.38,-0.38,-1.58,-1.58,-0.48,-0.50,-0.97,-1.23,-0.52,-0.42,-1.41,1.00,1.00,-1.53,-0.20,0.17,-0.38,0.38,-1.03
MAR-27-20-00,-1.56,-0.60,-1.34,-1.34,-1.84,1.02,1.16,-0.54,0.55,0.01,-0.04,-0.58,1.15,1.18,-0.84,-0.32,1.02,-1.43,0.04,0.04,-1.33,-1.33,-1.71,-0.41,0.99,0.95,1.03,-0.13,1.10,0.11,1.18,1.18,1.18,1.18,1.18,1.18,0.63,0.63,-1.00,0.22,-1.11,-0.36,0.02,-1.42,-0.87,0.07,-0.83,-0.50,1.18,1.18,1.18,-1.70,0.34,0.24,-0.39,0.33,-1.19
