DENSITY,DE,DE,DE,DE,DE,DE,ME,ME,ME,ME,ME,ME,SP,SP,SP,SP,SP,SP
TRAFFIC,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO,HI,HI,ME,ME,LO,LO
VIZ,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO,DI,GO
MAR-26-17-00,0.22,-0.25,-0.49,-0.66,-0.16,0.74,-0.24,-0.04,-0.43,-0.11,0.18,1.32,0.60,0.77,0.32,-0.12,-0.60,-1.06
MAR-26-18-00,0.08,-0.05,-1.31,-0.99,-0.77,-1.47,0.13,0.46,-0.42,0.18,-0.44,0.25,0.87,1.35,0.43,0.55,0.46,0.66
MAR-26-22-00,0.16,-0.42,-0.34,-0.85,-0.68,-0.94,-0.05,-0.28,0.40,-0.21,0.65,-0.53,0.49,-0.03,1.29,0.46,0.32,0.57
MAR-27-11-00,0.01,-0.08,-0.64,-0.97,-0.78,-0.40,-0.03,-0.02,0.99,-0.09,0.81,-0.66,0.04,1.64,-0.32,-0.06,0.89,-0.33
MAR-27-12-00,0.38,0.83,0.25,0.83,-0.42,-1.00,0.50,-0.63,0.00,-1.05,-0.05,-0.74,0.61,0.45,0.22,-0.20,0.02,0.01
MAR-27-16-00,-0.11,0.18,-0.78,-0.74,-0.67,-0.94,0.38,0.04,0.38,-0.53,-0.35,-0.44,1.73,0.72,0.68,-0.23,0.54,0.13
MAR-27-17-00,0.28,-0.30,-0.20,-1.02,0.75,-1.17,0.11,0.30,0.29,-0.27,1.11,-0.38,0.71,0.63,-0.52,0.06,-0.59,0.19
MAR-27-17-30,-0.51,-0.56,-1.11,-1.00,-1.01,-0.70,-0.01,0.41,0.12,-0.33,-0.10,-0.24,0.75,2.19,0.32,0.93,0.24,0.61
MAR-27-19-30,-0.68,-0.19,-0.86,-0.73,-0.90,-0.78,0.08,-0.06,0.07,-0.16,-0.26,0.43,0.59,1.84,0.62,0.66,-0.07,0.40
MAR-27-20-00,-0.18,-0.76,-1.00,-0.74,-0.83,-0.23,-0.32,0.18,0.07,0.23,-0.13,-0.45,0.99,0.50,0.73,0.88,0.79,0.25
MAR-27-21-00,0.25,0.00,-0.81,0.74,-0.58,-0.18,-0.28,0.71,0.53,0.04,0.05,0.06,0.03,-0.25,-0.52,0.03,-0.30,0.46
MAR-27-21-30,0.34,0.03,-0.14,0.01,-0.43,0.50,-0.50,0.42,0.17,-0.35,0.13,-0.05,0.09,0.43,-0.30,0.74,-0.72,-0.36
MAR-27-22-30,-0.21,-0.08,0.57,-0.54,-0.51,-0.92,-0.27,-0.06,0.69,-0.17,-0.33,0.25,0.40,1.02,-0.43,-0.10,0.25,0.42
MAR-28-10-00,0.12,-0.25,-0.52,-0.76,-0.16,-0.62,0.18,-0.14,0.44,0.05,0.74,-0.23,0.61,0.64,0.41,0.76,-0.53,-0.73
MAR-28-14-00,-0.49,-0.55,-0.50,-0.58,-0.20,-0.48,-0.42,-0.07,-0.33,0.00,-0.39,-0.12,1.53,1.96,-0.10,0.41,0.12,0.23
MAR-28-16-00,0.51,-0.98,-0.57,-1.17,-0.76,-1.23,-0.30,0.22,-0.01,-0.17,0.66,0.04,0.93,1.03,0.86,0.73,0.27,-0.06
MAR-28-17-00,-0.03,-0.36,-0.54,-0.81,-0.46,-0.80,-0.14,-0.21,-0.12,-0.07,-0.12,-0.19,0.55,0.04,1.30,0.01,0.68,1.29
MAR-28-19-00,-0.15,-0.82,-0.33,-0.14,-0.04,1.52,-0.92,0.71,-0.33,0.19,-0.27,0.22,-0.13,0.43,-0.02,-0.11,-0.17,0.37
MAR-28-20-00,0.65,-0.34,-0.81,-0.89,-0.87,-0.59,0.30,-0.04,0.63,-0.59,-0.48,-0.51,1.32,1.29,0.12,0.27,0.67,-0.14
MAR-28-21-00,0.56,0.61,-0.12,-0.66,-0.02,-0.89,0.26,0.55,0.26,-0.10,0.96,-0.25,0.22,-0.18,0.48,-0.47,-0.60,-0.62
MAR-29-18-00,-0.20,-0.75,-0.49,-0.79,-0.59,-1.11,-0.10,0.44,0.17,0.58,-0.13,0.55,0.36,1.08,0.20,0.04,0.77,-0.04
